samples_per_class,num_total_samples,best_val_acc,test_acc,num_classes
5,45,0.2777777777777778,0.2777777777777778,9
10,90,0.23076923076923078,0.21428571428571427,9
20,180,0.25925925925925924,0.25925925925925924,9
